Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:21:19 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:21:49 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:22:19 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:22:51 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:23:21 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:23:51 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:24:22 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:24:52 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:25:22 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:25:53 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:26:24 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:26:54 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:27:25 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:27:56 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 31.07.2016, 18:28:24 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 02.08.2016, 03:32:31 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 02.08.2016, 03:32:51 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 02.08.2016, 03:33:10 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 02.08.2016, 03:33:30 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 02.08.2016, 03:35:02 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 02.08.2016, 03:36:47 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:02:09 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:02:39 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:03:09 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:03:39 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:04:09 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:04:40 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:05:10 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:05:40 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:06:10 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 02.08.2016, 04:06:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:28:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:29:13 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:29:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:30:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:30:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:31:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:31:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:32:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:32:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:33:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:33:43 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:34:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:34:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:35:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 03.08.2016, 23:35:43 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 01:31:32 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 01:32:02 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 01:32:32 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 01:33:02 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 01:33:30 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 23:11:19 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 23:11:57 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 23:12:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 23:13:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 04.08.2016, 23:13:43 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 02:37:31 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 02:38:01 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 02:38:31 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 02:39:01 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 02:39:31 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 02:40:01 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 02:40:28 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 23:55:36 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 23:56:06 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 23:56:36 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 06.08.2016, 23:57:04 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 02:28:43 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 02:29:13 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 02:29:43 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 02:30:13 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 02:30:43 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:13:10 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:24:37 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:32:12 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:38:55 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:41:25 ] 
Recieved parameter: [Error: Location_is_lost, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:43:22 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:58:29 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:58:59 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:59:29 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 03:59:59 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:00:30 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:01:04 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:01:39 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:02:10 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:02:40 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:03:10 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:03:40 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:04:10 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:04:40 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:05:10 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:05:41 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:06:11 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:06:41 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:07:11 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:07:41 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:08:11 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:08:40 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:09:10 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:09:41 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:10:11 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:10:41 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:11:11 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:11:41 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:12:11 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:12:41 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:13:11 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:13:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:14:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:14:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:15:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:15:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:16:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:16:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:17:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:17:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:18:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:18:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:19:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:19:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:20:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:20:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:21:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:21:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:22:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:22:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:23:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:23:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:24:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:24:42 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:25:12 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:25:42 ] 
